"Timestamp","HostName","Protocol","State","CreationTime","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/22/2019 6:03:20 AM","::","4239","::","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:04 AM","::","3389","::","0","856"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 4:01:50 AM","::","3003","::","0","3340"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:56:05 AM","::","445","::","0","4"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/22/2019 6:03:28 AM","::","443","::","0","6964"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/2/2019 3:55:57 AM","::","135","::","0","724"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/26/2019 1:26:55 AM","0.0.0.0","61568","0.0.0.0","0","7124"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/26/2019 1:24:26 AM","0.0.0.0","61547","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/26/2019 1:23:47 AM","0.0.0.0","61541","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/26/2019 12:54:55 AM","0.0.0.0","61236","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/26/2019 12:51:55 AM","0.0.0.0","61217","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:28 AM","0.0.0.0","53882","0.0.0.0","0","4460"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:21 AM","0.0.0.0","53863","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:17 AM","0.0.0.0","53845","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:17 AM","0.0.0.0","53844","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:14 AM","0.0.0.0","53837","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:14 AM","0.0.0.0","53836","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:14 AM","0.0.0.0","53835","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:03:14 AM","0.0.0.0","53834","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:02:46 AM","0.0.0.0","53762","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:02:46 AM","0.0.0.0","53761","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/22/2019 6:02:46 AM","0.0.0.0","53759","0.0.0.0","0","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/24/2019 7:46:27 AM","0.0.0.0","51565","0.0.0.0","0","4460"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/2/2019 4:02:25 AM","0.0.0.0","49915","0.0.0.0","0","4040"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/2/2019 3:59:58 AM","0.0.0.0","49779","0.0.0.0","0","4208"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/2/2019 3:59:56 AM","0.0.0.0","49777","0.0.0.0","0","4208"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/2/2019 3:58:27 AM","0.0.0.0","49758","0.0.0.0","0","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/2/2019 3:58:27 AM","0.0.0.0","49757","0.0.0.0","0","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Bound","8/2/2019 3:58:26 AM","0.0.0.0","49756","0.0.0.0","0","3004"
"20190826T012700+0200","QLIKSERVER3","TCP","Listen","8/25/2019 4:10:39 AM","127.0.0.1","64210","0.0.0.0","0","7640"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/26/2019 1:26:55 AM","172.16.16.102","61568","40.67.251.132","443","7124"
"20190826T012700+0200","QLIKSERVER3","TCP","TimeWait","1/1/1601 1:00:00 AM","172.16.16.102","61563","40.67.251.132","443","0"
"20190826T012700+0200","QLIKSERVER3","TCP","TimeWait","1/1/1601 1:00:00 AM","127.0.0.1","61558","127.0.0.1","7070","0"
"20190826T012700+0200","QLIKSERVER3","TCP","TimeWait","1/1/1601 1:00:00 AM","172.16.16.102","61550","172.16.16.10","49669","0"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/26/2019 1:24:26 AM","172.16.16.102","61547","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/26/2019 1:23:47 AM","172.16.16.102","61541","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/26/2019 12:54:55 AM","172.16.16.102","61236","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/26/2019 12:51:55 AM","172.16.16.102","61217","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:28 AM","172.16.16.102","53882","172.16.16.100","5050","4460"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:21 AM","172.16.16.102","53863","172.16.16.102","4899","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:17 AM","172.16.16.102","53845","172.16.16.100","4432","6568"
"20190826T012700+0200","QLIKSERVER3","TCP","Established","8/22/2019 6:03:17 AM","172.16.16.102","53844","172.16.16.100","4432","6568"
