"Timestamp","HostName","Protocol","CreationTime","LocalAddress","LocalPort","OwningProcess"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","::1","53529","356"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:06 AM","::","4500","1096"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:04 AM","::","3389","856"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","::1","1900","356"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:06 AM","::","500","1096"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","::","123","936"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:25 AM","127.0.0.1","55534","1096"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:25 AM","127.0.0.1","55528","584"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:57:01 AM","127.0.0.1","55311","1004"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","127.0.0.1","53531","356"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","172.16.16.102","53530","356"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","0.0.0.0","5355","1004"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","0.0.0.0","5353","1004"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:58:09 AM","0.0.0.0","5050","936"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:06 AM","0.0.0.0","4500","1096"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:04 AM","0.0.0.0","3389","856"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","172.16.16.102","1900","356"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","127.0.0.1","1900","356"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:56:06 AM","0.0.0.0","500","1096"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:55:36 AM","172.16.16.102","138","4"
"20190826T141200+0200","QLIKSERVER3","UDP","8/2/2019 3:55:36 AM","172.16.16.102","137","4"
"20190826T141200+0200","QLIKSERVER3","UDP","8/16/2019 6:06:40 AM","0.0.0.0","123","936"
