"Timestamp","HostName","Protocol","State","CreationTime","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 10:46:45 PM","::","63931","::","0","9468"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 5:57:59 AM","::","58594","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 5:57:44 AM","::","58535","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 5:57:44 AM","::","58534","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 5:57:37 AM","::","58502","::","0","9468"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 5:57:23 AM","::","58451","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 5:57:23 AM","::","58450","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:50:11 AM","::","54619","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:50:11 AM","::","54618","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:50:11 AM","::","54617","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:50:11 AM","::","54616","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:49:55 AM","::","54614","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:49:55 AM","::","54613","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:49:55 AM","::","54611","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:49:54 AM","::","54604","::","0","7132"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:49:54 AM","::","54603","::","0","7132"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/22/2019 3:49:53 AM","::","54602","::","0","7132"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 6:16:51 AM","::","52447","::","0","9468"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 6:16:06 AM","::","52417","::","0","2660"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 6:15:57 AM","::","52410","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 6:15:52 AM","::","52397","::","0","5028"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 6:15:49 AM","::","52388","::","0","5028"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/26/2019 6:15:47 AM","::","52387","::","0","5028"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:09:42 AM","::","49956","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:09:27 AM","::","49955","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:09:15 AM","::","49951","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:08:42 AM","::","49945","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:07:40 AM","::","49942","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:07:02 AM","::","49929","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:07:02 AM","::","49928","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:07:02 AM","::","49926","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:06:49 AM","::","49901","::","0","10360"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:04:54 AM","::","49891","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:04:26 AM","::","49870","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 2:01:41 AM","::","49863","::","0","5952"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 1:56:28 AM","::","49837","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 1:56:26 AM","::","49824","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 1:53:47 AM","::","49728","::","0","184"
"20190827T021002+0200","QLIKSERVER1","TCP","Bound","8/27/2019 1:51:06 AM","::","49652","::","0","184"
