"Timestamp","HostName","Protocol","State","CreationTime","LocalAddress","LocalPort","RemoteAddress","RemotePort","OwningProcess"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:46:36 AM","::","61335","::","0","5048"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:21:04 AM","::","61110","::","0","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:03:18 AM","::","60969","::","0","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:03:18 AM","::","60968","::","0","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:02:58 AM","::","60961","::","0","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:02:52 AM","::","60936","::","0","7712"
"20190826T023816+0200","QLIKSERVER2","TCP","Bound","8/22/2019 6:02:49 AM","::","60913","::","0","3924"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:46:36 AM","::1","61335","::1","4747","5048"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:21:04 AM","::1","61110","::1","4899","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:03:18 AM","::1","60969","::1","5151","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:03:18 AM","::1","60968","::1","4243","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:02:58 AM","::1","60961","::1","4747","3272"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:02:52 AM","::1","60936","::1","4242","7712"
"20190826T023816+0200","QLIKSERVER2","TCP","Established","8/22/2019 6:02:49 AM","::1","60913","::1","4242","3924"
"20190826T023816+0200","QLIKSERVER2","TCP","TimeWait","1/1/1601 1:00:00 AM","::1","59700","::1","47001","0"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:46 AM","::","49671","::","0","588"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:42 AM","::","49670","::","0","572"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:41 AM","::","49669","::","0","1440"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:41 AM","::","49668","::","0","1836"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:41 AM","::","49667","::","0","680"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:41 AM","::","49666","::","0","588"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:39 AM","::","49665","::","0","948"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:37 AM","::","49664","::","0","460"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/2/2019 3:55:42 AM","::","47001","::","0","4"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:01:43 AM","::","46277","::","0","172"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:02:51 AM","::","21060","::","0","5796"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:01:22 AM","::","9200","::","0","7712"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:02:56 AM","::","9098","::","0","6656"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:01:41 AM","::","9090","::","0","3840"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:01:44 AM","::","9080","::","0","6484"
"20190826T023816+0200","QLIKSERVER2","TCP","Listen","8/22/2019 6:01:55 AM","::","9079","::","0","672"
